,playlistnumber,songname,id,artistname,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,index,acousticness_scaled,danceability_scaled,duration_ms_scaled,energy_scaled,instrumentalness_scaled,key_scaled,liveness_scaled,loudness_scaled,mode_scaled,speechiness_scaled,tempo_scaled,valence_scaled
46,1,Tu Meri,39TJkE0AEkfWii8VB3JqSV,Vishal-Shekhar,0.0773,0.679,257089,0.688,0,8,0.704,-5.522,1,0.0293,127.951,0.424,47,-0.909272802,0.039994384,-0.146137544,-0.174150272,-0.170660919,0.712754576,3.812926111,0.48690169,0.705396726,-0.686152239,0.47337375,-0.959307719
47,1,Tu Hi Mera,1CVqr5LImdmJ1Upt4z08Pm,Shafqat Amanat Ali,0.544,0.621,272973,0.859,0,11,0.11,-4.673,1,0.103,90.047,0.873,48,0.9856406,-0.381270424,0.09922052,0.844801815,-0.170660919,1.552883545,-0.449180794,0.853708582,0.705396726,0.261659402,-1.063311101,1.134515553
48,1,Sadka,4dPeCbg2Op44s9kwyMS3ZT,Vishal-Shekhar,0.232,0.678,343587,0.547,0.000176,7,0.0785,-6.89,1,0.0286,143.892,0.579,49,-0.281153875,0.032731198,1.189985714,-1.014338834,-0.166016493,0.432711587,-0.675201615,-0.104136977,0.705396726,-0.69515452,1.119645733,-0.236495676
49,1,"Khabar Nahi (From ""Dostana"")",0PkPrsnbiM1MQhp91IWaMb,Vishal-Shekhar,0.153,0.623,259120,0.758,0,7,0.0622,-6.641,1,0.109,90.948,0.436,50,-0.601912732,-0.366744051,-0.114764953,0.242964617,-0.170660919,0.432711587,-0.792158421,0.00344243,0.705396726,0.338821815,-1.026783214,-0.903348077
50,1,"Mast Magan (From ""2 States"")",4wIWWEhbdgKAxhR68eE0Ye,Arijit Singh,0.606,0.659,280161,0.774,0.000333,7,0.185,-7.014,1,0.0372,82.995,0.883,51,1.2373754,-0.105269343,0.210252613,0.338305164,-0.161873453,0.432711587,0.088964017,-0.157710657,0.705396726,-0.584555061,-1.349209729,1.181148588
51,1,Suno Aisha,0MjL7YQ02qH7nxfayhbmfp,Amit Trivedi,0.33,0.862,260027,0.673,0.00856,7,0.0961,-6.686,1,0.0688,105.003,0.841,52,0.116749518,1.369157484,-0.100754643,-0.263532034,0.055227091,0.432711587,-0.548916966,-0.015999632,0.705396726,-0.178166352,-0.456972492,0.985289841
52,1,Luka Chuppi,500H9ENeR5AYbKU1ScK6ME,Lata Mangeshkar,0.645,0.601,396507,0.441,1.08E-06,4,0.0986,-8.946,1,0.0285,103.862,0.202,53,1.395724709,-0.52653415,2.007434012,-1.645969952,-0.170632419,-0.407417381,-0.530978805,-0.99242316,0.705396726,-0.69644056,-0.503230339,-1.994561097
53,1,Rock N Roll Soniye,0W1eHrIACKah9l0Q9v611q,Shankar-Ehsaan-Loy,0.109,0.787,341840,0.871,0,5,0.0426,-6.193,0,0.142,94.998,0.831,54,-0.780563235,0.824418509,1.163000034,0.916307224,-0.170660919,-0.127374392,-0.932793598,0.196998952,-1.417641964,0.763215087,-0.862590156,0.938656806
54,1,Aaj Kal Zindagi,6YRbGtSA2ekKeKkHxHEoc7,Shankar Mahadevan,0.222,0.633,254467,0.62,0.00771,4,0.0988,-8.911,1,0.0332,134.857,0.384,55,-0.321756262,-0.294112187,-0.186639234,-0.579347593,0.032796623,-0.407417381,-0.529543753,-0.977301557,0.705396726,-0.63599667,0.753353319,-1.14583986
55,1,Adhoore,298atiKYvG84VfbXNbZiX5,Vishal Dadlani,0.0858,0.799,264210,0.542,1.50E-06,0,0.126,-7.142,1,0.0308,107.993,0.673,56,-0.874760773,0.911576745,-0.036140391,-1.044132755,-0.170621336,-1.527589339,-0.334376568,-0.213012521,0.705396726,-0.666861635,-0.33575342,0.201854853
56,1,Wake Up Sid!,4BJI0anpEdv4uUw3fUXYpr,Shankar-Ehsaan-Loy,0.0774,0.72,231240,0.651,0,2,0.11,-6.844,1,0.0346,128.023,0.824,57,-0.908866778,0.337785024,-0.545423656,-0.394625284,-0.170660919,-0.96750336,-0.449180794,-0.08426287,0.705396726,-0.617992107,0.476292738,0.906013682
57,1,Kya Mujhe Pyaar Hai,3HFjh7QljnUCBLsoTwMuTj,KK,0.425,0.643,266653,0.759,1.84E-05,6,0.0814,-7.96,0,0.0499,118.481,0.795,58,0.502472195,-0.221480324,0.001596309,0.248923402,-0.170175366,0.152668597,-0.654393349,-0.566425993,-1.417641964,-0.421227954,0.089445786,0.77077788
58,1,Anjaana Anjaani Ki Kahani,3pNxVP6r45iUho1uxEYdj9,Monali Thakur,0.00591,0.682,285051,0.97,0.171,2,0.0448,-5.332,1,0.0459,137.954,0.959,59,-1.199133242,0.061783943,0.285787802,1.506226853,4.341821531,-0.96750336,-0.917008017,0.568990393,0.705396726,-0.472669562,0.878910331,1.535559655
59,1,Tune Jo Na Kaha,0pw3p4gf5homOkvOGOJulF,Mohit Chauhan,0.779,0.314,310073,0.475,0.00539,5,0.34,-12.38,1,0.0838,78.992,0.312,60,1.939796695,-2.61106863,0.672299353,-1.443371291,-0.028425361,-0.127374392,1.20112996,-2.476068468,0.705396726,0.01473968,-1.511497336,-1.481597712
60,1,I Love You,5bHDGWyIFML1LYXZWTD5MF,Ash King,0.359,0.649,256813,0.671,7.35E-06,11,0.0656,-6.026,1,0.0848,90.048,0.759,61,0.23449644,-0.177901206,-0.15040088,-0.275449602,-0.170466962,1.552883545,-0.767762522,0.269150602,0.705396726,0.027600082,-1.06327056,0.602898954
61,1,Mera Mann Kehne Laga,1niVgR76UPobOED5cXfADq,Falak Shabbir,0.714,0.46,227335,0.444,2.65E-05,7,0.0881,-6.217,1,0.123,74.977,0.7,62,1.675881179,-1.550643424,-0.605743679,-1.628093599,-0.169961616,0.432711587,-0.606319079,0.186629853,0.705396726,0.518867446,-1.674271441,0.327764047
62,1,"Raabta (From ""Agent Vinod"")",6tzckBcK66LzeSA1Opnv35,Arijit Singh,0.7,0.657,243578,0.581,1.75E-05,0,0.116,-8.108,1,0.0298,118.038,0.32,63,1.619037837,-0.119795715,-0.354840188,-0.811740174,-0.170199115,-1.527589339,-0.406129209,-0.630368772,0.705396726,-0.679722038,0.071485904,-1.444291284
63,1,Kho Gaye Hum Kahan,6nZiYSBwPQ7fYnVWkkkj4g,Prateek Kuhad,0.983,0.778,213056,0.227,0.14,1,0.113,-16.191,1,0.0379,116.033,0.38,64,2.76808539,0.759049832,-0.826309518,-2.921149756,3.523769157,-1.24754635,-0.427655002,-4.122595046,0.705396726,-0.57555278,-0.009799795,-1.164493074
