playlistnumber,songname,id,artistname,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
1,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",7ofWUKeNCUw1P64ArIwG9b,Tanishk Bagchi,0.15,0.8,177383,0.972,0.00337,10,0.351,-2.053,0,0.0405,110.054,0.694
1,Allah Ke Bande,6Y1cH3RzDCMWGQtOS0HmP8,Kailash Kher,0.795,0.543,246883,0.44,0,7,0.224,-8.595,1,0.0597,125.53,0.726
1,"Raabta (From ""Agent Vinod"")",6tzckBcK66LzeSA1Opnv35,Arijit Singh,0.7,0.657,243578,0.581,1.75E-05,0,0.116,-8.108,1,0.0298,118.038,0.32
1,I Love You,5bHDGWyIFML1LYXZWTD5MF,Ash King,0.359,0.649,256813,0.671,7.35E-06,11,0.0656,-6.026,1,0.0848,90.048,0.759
1,Tune Jo Na Kaha,0pw3p4gf5homOkvOGOJulF,Mohit Chauhan,0.779,0.314,310073,0.475,0.00539,5,0.34,-12.38,1,0.0838,78.992,0.312
1,Kya Mujhe Pyaar Hai,3HFjh7QljnUCBLsoTwMuTj,KK,0.425,0.643,266653,0.759,1.84E-05,6,0.0814,-7.96,0,0.0499,118.481,0.795
1,Aaj Kal Zindagi,6YRbGtSA2ekKeKkHxHEoc7,Shankar Mahadevan,0.222,0.633,254467,0.62,0.00771,4,0.0988,-8.911,1,0.0332,134.857,0.384
1,Luka Chuppi,500H9ENeR5AYbKU1ScK6ME,Lata Mangeshkar,0.645,0.601,396507,0.441,1.08E-06,4,0.0986,-8.946,1,0.0285,103.862,0.202
2,Sham,5Q58RkKyUafm15Syxg79DW,Amit Trivedi,0.827,0.722,284627,0.288,1.06E-05,4,0.12,-10.767,1,0.0444,119.899,0.502
2,Pani Da Rang (Male),44gvSP8Kpx6P7VSRHL9dN8,Ayushmann Khurrana,0.172,0.672,239333,0.67,0.000198,4,0.197,-7.257,0,0.0315,98.032,0.533
2,Samjhawan,0rk2X5TAhraBC5aCIXK2Rq,Arijit Singh,0.293,0.65,269185,0.482,0,4,0.0811,-8.667,1,0.0281,106.994,0.517
2,Kabira,4bD9z9qa4qg9BhryvYWB7c,Rekha Bhardwaj,0.481,0.59,223460,0.555,0,2,0.192,-6.852,1,0.0271,84.032,0.191
2,"Dooriyan (From ""Love Aaj Kal"")",4peiaLdhDgUgQ646Gpbvh3,Mohit Chauhan,0.611,0.517,337360,0.716,0,7,0.11,-6.582,0,0.0509,122.952,0.594
2,"Galliyan (From ""Ek Villain"")",517bz7zkWELmyL4eZzJ5R9,Ankit Tiwari,0.445,0.552,340400,0.75,7.37E-05,10,0.291,-5.215,0,0.039,89.999,0.4
2,Tum Se Hi,7eQl3Yqv35ioqUfveKHitE,Mohit Chauhan,0.328,0.609,321225,0.538,0,6,0.125,-7.842,1,0.0273,130.007,0.608
2,Mitwa,4BTPzhEsyW3blWcxcuhLM0,Shankar Mahadevan,0.295,0.63,382973,0.63,1.26E-05,4,0.0934,-7.525,1,0.0364,107.103,0.517
2,Kabhi Kabhi Aditi,3APdIdF8H0jsxSuGOqXedS,Rashid Ali,0.276,0.791,218836,0.558,0,7,0.0859,-7.155,0,0.0661,95.077,0.872
2,Jab Se Tere Naina,0gRNu9dVzi5aC87AI1empZ,Shaan,0.362,0.599,284573,0.653,0,0,0.144,-7.576,0,0.122,79.968,0.678
2,In Dino,6YycppSAeGtSvwmu8qCcr2,Pritam,0.513,0.406,397027,0.633,0,0,0.116,-6.989,1,0.0379,101.436,0.344
2,Subhanallah,0GQngE2rOYvlKwEQjTAsP8,Sreeram,0.452,0.302,249707,0.494,0,9,0.134,-5.041,1,0.0451,88.586,0.454
2,Moh Moh Ke Dhaage (Male),189DQylImZ1hGZaIpAQUzx,Papon,0.741,0.634,322900,0.344,6.09E-05,2,0.111,-11.011,1,0.0288,128,0.409
2,"Kaise Hua (From ""Kabir Singh"")",1y1rQTkWmrZdJmjwuK07GC,Vishal Mishra,0.452,0.385,234722,0.464,0,2,0.109,-6.975,1,0.0404,137.839,0.15
2,Sau Aasmaan,0zHZSO80CTxNtvtRhveHRJ,Armaan Malik,0.123,0.63,234737,0.729,8.00E-06,6,0.0786,-4.93,1,0.0287,127.919,0.44
2,Makhna,0ZHILXmUaVSLEOCWxPQ1ga,Tanishk Bagchi,0.167,0.696,183000,0.704,0,1,0.155,-7.876,1,0.0423,124.972,0.426
